Title,PrimaryAuthor,PrimaryInstitution,PrimaryDepartmentSchool,SecondaryAuthor,SecondaryInstitution,SecondaryDepartmentSchool,TertiaryAuthor,TertiaryInstitution,TertiaryDepartmentSchool,Topics,Year
Applications of Computer Simulation for Health Care,Edward G. Anderson Jr.,University of Texas at Austin,McCombs School of Business,Luci K. Leykum,University of Texas Health Science Center San Antonio,N/A,N/A,N/A,N/A,"Process Improvement, Patient Safety and Quality Care",2013
"Lessons Learned from the Border Health DSME Initiataive in Starr County, Texas","Sharon A. Brown, Ph.D., R.N., F.A.A.N",University of Texas at Austin,School of Nursing,"Joseph H.Blades Jr., Ph. D.",University of Texas at Austin,School of Nursing,"Craig L. Hanis, Ph.D.",University of Texas Health Science Center at Houston,School of Public Health,"Health Disparities, Design",2013
Head and Neck Continuity of Care,Laura Burke ,University of Texas M.D. Anderson Cancer Center,N/A,"Laurie Cook Heffron, L.M.S.W",Refugee Services of Texas,N/A,"Sulamita Mora, L.M.S.W.",Victims of Trafficking Case Manager,,Process Improvement,2013
Collaboratively Addressing the Complex Biopsychosocial Needs of Victims of Modern Day Slavery: An Innovtive Community Clinic Approach,"Noel Busch-Armendariz, Ph.D, M.L.S.W, M.P.A",University of Texas at Austin,School of Social Work,"Laurie Cook Heffron, L.M.S.W",Instiute on Domestic Violence & Sexual Assault (IDVSA),,"Ted Held, M.D.",Seton HealthCare,,"Health Disparities, Patient Safety & Quality Care",2013
Improving Patient Communications While Waiting at Hospital Through Wif-Fi Based RFID Technology,"Thomas C. Chen, P.E., Ph.D.",University of Houston,Industrial Engineering,N/A,N/A,N/A,N/A,N/A,N/A,"Health Communication, Digital Health",2013
Health Literacy and Patient Activation: Potential Activation: Potential Targets for Improving Health-related Quality of Life among patients with COPD,David Coultas,University of Texas Health Science Center-Tyler,Internal Medicine-Division of Pulmonary and Critical Care Medicine,Bradford Jackson,University of Alabama,Medicine-Division of Preventive Medicine,Karan Singh,University of Alabama,Medicine-Division of Preventive Medicine,"Health Communication, Health Disparities",2013
Stockpiling Ventilators for Pandemic Influenza,Paul Damien,University of Texas at Austin,"McCombs School of Business-Information, Risk, & Operation Management",Hsin-Chan Huang,University of Texas at Austin,McCombs School of Business-Operations Research & Industrial Engineering,Ozgur Araz,University of Nebraska Medical Center,"Health Promotion, Social & Behavioral Health","Biomedical Devices/Medical Devices, Healthcare Entrepreneurship",2013
Primary Care Work Relationshiprs and Patient-assessed Quality of Care: Development and Validation of Work Relationships,"Erin P. Finley, Ph.D., M.P.H.",University of Texas Health Science Center at San Antonio,Medicine; South Texas Veterans Health Care System,"Jacqueline A. Pugh, M.D.",University of Texas Health Science Center at San Antonio,Medicine; South Texas Veterans Health Care System,,,,"Patient Safety & Quality Care, Design",2013
Maintaing the Availability of Infectious Disease Health Care Services in Texas,"Matthew Flynn, M.S.",N/A,N/A,R. Atwood,N/A,N/A,J. Carter,N/A,N/A,,2013
How Can A Researched- Based Social Work Assessment Tool Be Adapted for Hospice Clinical Practice Into a Comprehensive Documentation System for an EHR?,"Angela Hansen, L.C.S.W., A.C.H.P-S.W.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Health Information Technology, Patient Safety & Quality Care",2013
