Title,PrimaryAuthor,PrimaryInstitution,PrimaryDepartmentSchool,SecondaryAuthor,SecondaryInstitution,SecondaryDepartmentSchool,TertiaryAuthor,TertiaryInstitution,TertiaryDepartmentSchool,Topics,Year
MobDoc:Mobile-based Medical Diagnostic Tool,Rita Arora,Texas Advanced Computing Center,N/A,Sukrit Sondhi,Fulcrum Worldwide,N/A,N/A,N/A,N/A,"Digital Health, Process Improvement",2015
Exploring Patient-Centered Handoffs in Surgical Oncology,"Mrge (Mary) Benham-Hutchins, Ph.D, R.N.",University of Texas at Austin,School of Nursing,"Nancy Staggers, Ph.D., R.N, F.A.A.N.","Univresity of Maryland, Utah","Laura Heermann Langgford, Ph., R.N.",University of Utah,Intermountain Healthcare,N/A,"Health Communication, Process Improvement",2015
Engaging LGBTQ Patients' Perspectives to Examine Predictive Factors of Disclosure and Reduce Health Disparities,"Laura E. Brown, M.A.",Univeristy of Texas at Austin,Moody College of Communication,"Jelena Todic, M.S.W.",University of Texas at Austin,School of Social Work,N/A,N/A,N/A,"Health Disparities, Health Communications",2015
Combating Loneliness: Linguistic Complexity and Online Social Support for Young Adults Coping with Cancer,"Brad Love, Ph.D.",Univeristy of Texas at Austin,Advertising and Public Relations,"Brittani Cook, M.A.",University of Texas at Austin,Communication Studies,"Elizabeth Glowacki, M.A.",University of Texas at Austin,Communication Studies,"Health Communication, Digital Health",2015
Healthcare and Money Matters,Murali Parthasarathy,Saaraa Medical Solutions,Managing Directo,Paul Damien,University of Texas at Austin,"Information, Risk, and Operation Management",N/A,N/A,N/A,"Healthcare Entrepreneurship, Health Information Technology",2015
Engaging Patients in Improving Clinical Consent Communcation: An Analysis of Patient Satisfaction with Medical Disclosure and Consent Documents,"Erin E. Donovan, Ph.D.",University of Texas at Austin,Communication Studies & Center for Health Communication,"Laura E. Brown, M.A.",University of Texas at Austin,Communication Studies & Center for Health Communication,N/A,N/A,N/A,"Health Communcation, ",2015
Using Electronnic Health Records to Improve Community Health Outcomes: A Case for Query Health in Texas,"Leanne H. Field, Ph.D.",University of Texas at Austin,College of Natural Sciencce,"James B. Daniel, M.P.H.",U.S. Health and Human Services Department,Office of the National Coordinator for Health Inifromation Tecnhology,N/A,N/A,N/A,Health Information Technology,2015
Combating Child Malnutrition in Post-Conflict Zones: Assesing an Intervention in the Democratic Republic of Congo,Kishore Gawande,Univeristy of Texas at Austin,McCombs School of Business,Blaise Pascal Furaha,Texas A&M University,Bush School of Government,Sky Barlow,Texas A&M University,Bush School of Government,Design,2015
Inconsistent Messages in Parent-Child Conversation about Alcohol,"Elizabeth M. Glowacki,  M.A.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Health Communcation,2015
The Magic and Mystery of Time in Healthcare Transformation,"Gaines W. Hammond Jr. M.D., F.A.C.S.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Process Improvement,2015
Effective Care Management for Behavorial Health Integration: A process improvement initiative focused on improving mental health outcomes,"Carolyn Harvey, R.N.",University of Texas Health Science Center at Tyler,N/A,"David Shafer, M.D.",University of Texas Health Science Center at Tyler,N/A,"DelAnne Zeller, R.N.",University of Texas Health Science Center at Tyler,N/A,"Process Improvement, Health Disparities",2015
CommUnityCare Street Medicine,"Ted Held, M.D.",Central Health,N/A,Patricia Barrera,CommUnityCare,N/A,Magarita Arroyo,Central Health,N/A,"Design, Health Disparities",2015
The Evolution and Strategies for Health Information Exchange,"James Langebeer II, M.B.A., Ph.D",University of Texas Health Science Center at Houston,"Informatics, Healthcare Management, and Emergency Medicine","Tiffany Champagne, M.B.A, Ph.D.",Greater Houston Healthconnect,Vice President,N/A,N/A,N/A,Health Information Technology,2015
"Being Present: Illness Narrative, the Art of Witnessing, and a Return to Bedside Manner","Megan Hidebrandt, M.F.A",Univeristy of Texas at Austin,Art & Art History,,N/A,N/A,N/A,N/A,N/A,Patient Safety & Quality Care,2015
University High School: Mutually beneficial collaboration between college students at UT and students at Austin's first sober high school,"Lori Holleran Steiker, Ph.D., A.C.S.W.",N/A,N/A,"Becky Ahlgrim, M.A.",University High School,Executive Director,"Erin Ebert, M.S.S.W",University of Texas at Austin,School of Social Work,"Design, Health Communication",2015
Fast Food Service in a High Volume Referral Emergency Department: The SuperTrack Flow Model in an Emergeny Departmemt to improve Throughput and Patient Satisfaction,"Sujit Iyer, M.D.",Dell Children's Medical Center of Central Texas,N/A,"Eric Higginbotham, M.D.,",Dell Children's Medical Center of Central Texas,N/A,"Laurie Toth, R.N.",Dell Children's Medical Center of Central Texas,N/A,"Process Improvement, Design",2015
