Title,PrimaryAuthor,PrimaryInstitution,PrimaryDepartmentSchool,SecondaryAuthor,SecondaryInstitution,SecondaryDepartmentSchool,TertiaryAuthor,TertiaryInstitution,TertiaryDepartmentSchool,Topics,Year
Understanding User Needs for a Serious Game for Teaching Children with Autism Spectrum Disorders (ASDs) Emotions,"Bretagne Abirached, M.A.",University of Texas at Austin,School of Information,Yan Zhang,University of Texas at Austin,School of Information,Ji Hyun Park,University of Texas at Austin,School of Information,"Health Disparities,  Medical Technology Device, Biotechnology Innovation",2012
Consistency of State Laws Regulating Insurers' Use of Policyholder Risk Classifications,"Ronen Avraham, S.J.D.",University of Texas at Austin,School of Law,N/A,N/A,N/A,N/A,N/A,N/A,Healthcare Law & Policy,2012
Targeting Interventions for Maximum Effectiveness: A Model-testing Meta-analysis to Explain Clinical Outcomes in Type 2 Diabetes ,"Sharon A. Brown, Ph.D., R.N., F.A.A.N.",University of Texas at Austin,School of Nursing,"Adama Brown, Ph.D.",University of Texas at Austin,School of Nursing,"Alexandra Garcia, Ph.D., R.N.",University of Texas at Austin,School of Nursing,"Health Disparities, Design",2012
"Health Information Technology, Nurses, Turbulence, and Cost","Jennifer A. Browne, R.N., M.S.N.",University of Texas Health Science Center- San Antonio,N/A,"Carrie Jo Braden, R.N., Ph.D.",University of Texas Health Science Center- San Antonio,N/A,N/A,N/A,N/A,"Health Information Technology, Design",2012
Bundled Payments for COPD: Understanding Costs and the Case for Improved Advanced Care Planning,"David B. Coultas, M.D.",University of Texas Health Science Center-Tyler,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Healthcare Law & Policy, Patient Safety & Quality Care",2012
"A Retrospective Study of Nurse Residency Program and Reports of Job Satisfaction, Organizational Commitment, and Turnover","Kenneth W. Dion, M.B.A, M.S.N., Ph.D., R.N.",University of Texas at Austin,"Decision Critical, Inc.",,N/A,N/A,N/A,N/A,N/A,Design,2012
Tech Advances and Tech Research Programs,"Edward H.J. Elms, M.D.",University of Texas Health Science Center-Houston,School of Biomedical Informatics,"Lex Friedne, Ph.D.",University of Texas Health Science Center-Houston,School of Biomedical Informatics,,,N/A,"Health Disparities, Medical Technology Devices, Biotechnology Innovation",2012
Supplemental Documents,"Patricia Wilder Evans, M.D.",University of Texas Medical School-Houston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Health Disparities, Process Improvement, Patient Safety & Quality Care",2012
Promoting Comprehensive Primary Care for Premature Infants: Reducing Costs and Improving Outcomes,"Patricia Wilder Evans, M.D.",University of Texas Medical School-Houston,N/A,Jon   E. Tyson,"University of Texas McGovern Medical School, Houston",N/A,Roy Heyne,UTSW,N/A,"Health Disparities, Process Improvement, Patient Safety & Quality Care",2012
The Effect of Physician's Personal Health Behaviors and Competence on Patient Cancer Prevention Counseling Practices,"Kentya Ford, Dr.PH., C.H.E.S.",University of Texas at Austin,College of Pharmacy- Health Outcomes and Pharmacy Practice,"Alexander V. Prokhorov,  M.D. Ph.D.",U.T. M.D. Anderson Cancer Center,Health Outcomes and Pharmacy Practice,"Salma Marani, M.S.",U.T. M.D. Anderson Cancer Center,Health Outcomes and Pharmacy Practice,"Patient Safety & Quality Care, Design",2012
Health Care Developments in M-Commerce and Associated Issues for Risk Management,"Linda Golden, J.D., Ph.D.",University of Texas at Austin,McCombs School of Business- Marketing,"Patrick L. Brockett, Ph.D.",University of Texas at Austin,,"Ilya Dayter, B.A.",University of Texas at Austin,,"Digital Health, Health Infromation Technology",2012
The Role of Social Media on New Drug Performance in the Pharmaceutical Industry,"Wenjing ""Wendy"" Duan, Ph.D.",George Washington University,N/A,Vicky Ching Gu,Texas Tech University,N/A,Quin Cao,Texas Tech University,N/A,"Health Communication, Digital Health",2012
Health Promotion Delivery Systems-Doing More with Less Through Preventative Healthcare,"Glynn Harmon, Ph.D.",University of Texas at Austin,School of Information,N/A,N/A,N/A,N/A,N/A,N/A,"Health Communication, Digital Health",2012
From ER to Home: This field research report explores patient throughput issues at a local Level 1 Trauma Center,"Kristie Loescher, M.P.H., D.B.A",University of Texas at Austin,McCombs School of Business- Management,N/A,N/A,N/A,N/A,N/A,N/A,Process Improvement,2012
The adoption and diffusion of evidence-based pharmaceutical technologies in addiction treatment,"Carolyn Heinrich, Ph.D.",University of Texas at Austin,LBJ School of Public Affairs- Center for Health and Social Policy,"Grant R. Cummings, Ph.D.",University of Texas at Austin,LBJ School of Public Affairs- Center for Health and Social Policy,,,,"Pharmaceutical Innovation, Healthcare Law & Policy",2012
Informatics and Technology in Healthcare Innovation,"Jim Langabeer, Ph.D.",University of Texas Health Science Center - Houston,School of Public Health,,N/A,N/A,N/A,N/A,N/A,"Health Information Technology, Healthcare Law & Policy",2012
Testing a Conceptual Model of Practice Relationships: The Importance of Trust and Reflection in Primary Care Practice Redesign,"Holly Lanham, Ph.D.",University of Texas Health Science Center- San Antonio,,Raymond F. Palmer ,University of Texas Health Science Center- San Antonio,,"Luci K. Leykum, M.D., M.B.A.",University of Texas Health Science Center- San Antonio,,"Design, Patient Safety & Quality Care",2012
The impact of Physician relationships on the length of stay of Hospitalized Patients,"Luci Leykum, M.D., M.B.A., M.Sc.",University of Texas Health Science Center- San Antonio,School of Medicine,"Caitlin McAllister, B.S.",University of Texas Health Science Center- San Antonio,School of Medicine,"Holly Lanham, Ph.D.",University of Texas Health Science Center- San Antonio,School of Medicine,Patient Safety & Quality Care,2012
Improving Health Communication and Outcomes: Bringing Together Academic Interests and Practice Needs to Benefit Patients,"Michael Mackert, Ph.D.",University of Texas at Austin,Communications; Stan Richards School of Advertising and Public Relations,"Keri Stephens, Ph.D.",University of Texas at Austin,Communication Studies,"Erin Donovan-Kicken, Ph.D.",University of Texas at Austin,Communication Studies,Health Communication,2012
Health Literacy in Action: Online Discussion of Mammogram and PSA Screen Recommendations,"Michael Mackert, Ph.D.",University of Texas at Austin,Communications; Stan Richards School of Advertising and Public Relations,"Brad Love, Ph.D.",University of Texas at Austin,Stan Richards School of Advertising and Public Relations,"Marie Guadangno, M.A.",University of Texas at Austin,Stan Richards School of Advertising and Public Relations,"Health Communication, Health Disparities",2012
Shifting Organizational Paradigms for Cost Containment,"Thomas Mackey, Ph.D., A.R.N.P.-B.C., F.A.A.N., F.A.A.N.P.",University of Texas Health Services; University of Texas Health Science Center - Houston,School of Nursing,N/A,N/A,N/A,N/A,N/A,N/A,"Design, Process Improvement",2012
The Rapid Physician Supply Response to the 2003 Medical Malpractice Reforms in Texas,"Stephen P. Magee, Ph.D.",University of Texas at Austin,McCombs School of Business,N/A,N/A,N/A,N/A,N/A,N/A,"Healthcare Law & Policy, Patient Safety & Quality Care",2012
"Balancing a Mission of Curing Cancer, Increased Competition, Academia, and Costs in an Era of Reform","Julianna Moorad, M.B.A.",M.D. Anderson Cancer Center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Patient Safety & Quality Care, Design, Process Improvement",2012
Clinical Program Eval Info,"Julianna Moorad, M.B.A.",M.D. Anderson Cancer Center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Patient Safety & Quality Care, Design, Process Improvement",2012
