Title,PrimaryAuthor,PrimaryInstitution,PrimaryDepartmentSchool,SecondaryAuthor,SecondaryInstitution,SecondaryDepartmentSchool,TertiaryAuthor,TertiaryInstitution,TertiaryDepartmentSchool,Topics,Year
Does signout help overnight care? A study of nighttime inpatient clinical activities.,Joshua T. Hanson,University of Texas Health Science Center at San Antonio,N/A,Luci K. Leykum,University of Texas Health Science Center at San Antonio,,Jacqueline Pugh,University of Texas Health Science Center at San Antonio,,Patient Safety & Quality Care,2014
Austin's First Recovery High School: An Innovative System-Based Initiative to Improve the Lives of Adolescents who Seek Recovery from Substance Abuse,"Lori Holleran Steiker, Ph.D.",University of Texas at Austin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Health Disparities, Design",2014
Examples of Questions Applying CAS and CoP Theories to Analysis of Independent and Embedded Models of Hospital Ethics Committees and the Clinical Ethics Consolations they provide,"Joy Hinson Penticuff, R.N., Ph.D., F.A.A.N.",University of Texas at Austin,School of Nursing,N/A,N/A,N/A,N/A,N/A,N/A,Healthcare Law & Policy,2014
Communicating about marijuana use in close relationships: An application of communication privacy management theory,"Laura E. Brown, M.A., Ph.D. candidate",University of Texas at Austin,Communication Studies,"Elizabeth M. Glowacki, Ph.D. candidate",University of Texas at Austin,Communication Studies,N/A,N/A,N/A,"Health Communication, Health Information Technology",2014
Complex Adaptive Systems and Community of Practice on Ethics,"Joy Hinson Penticuff, R.N., Ph.D., F.A.A.N.",University of Texas at Austin,School of Nursing,N/A,N/A,N/A,N/A,N/A,N/A,"Healthcare Law & Policy, Patient Safety & Quality Care",2014
Decline of a Telehealth Program at a Home Health Agency and Implications for Sustainability: A Texas Case Study,"Kavita Radhakrishnan, R.N., Ph.D., M.S.E.E.",University of Texas at Austin,School of Nursing,"Bo Xie, Ph. D.",University of Texas at Austin,School of Nursing,N/A,N/A,N/A,"Digital Health, Design, Patient Safety & Quality Care",2014
Delay in Specialty Care Referrals: A Root Cause Analysis and Development of a Modell Referral Management Ecosystem to Improve the Referral Process,"Arvind Venkateswaran, M.I.E.",University of Texas Health Science Center at Tyler,N/A,"Ajay Vittalam, M.S.M.E., P.M.P.",University of Texas Health Science Center at Tyler,N/A,"Kate Philley Starnes, M.Ed., J.D.",University of Texas Health Science Center at Tyler,N/A,"Patient Safety & Quality Care, Design, Process Improvement",2014
Demographics Factors Associated with Primary Care Visit Attendance at an Urban HIV Clinic,Randal A. Leggett,"NO/AIDS Task Force, New Orleans, LA",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Health Disparities, Design",2014
Dental Care Utilization and Unmet Needs: A Study with Older Korean Americans,"Yuri Jang, Ph.D.",University of Texas at Austin,School of Social Work,"Hyunwoo Yoon, M.S.W., M.P.H.",University of Texas at Austin,School of Social Work,"Miyong Kim,  Ph.D",University of Texas at Austin,School of Nursing,"Health Disparities, Patient Safety & Quality Care",2014
"Drugs Do Good Things, Bad Things Just Happen:Strategic Agency Assignment in Direct-to-Consumer Drug Advertising","Matt McGlone, Ph.D.",University of Texas at Austin,Communication Studies,"Leah LeFebvre, A.B.D.",University of Wyoming,Communication,N/A,N/A,N/A,Health Communication,2014
