Title,PrimaryAuthor,PrimaryInstitution,PrimaryDepartmentSchool,SecondaryAuthor,SecondaryInstitution,SecondaryDepartmentSchool,TertiaryAuthor,TertiaryInstitution,TertiaryDepartmentSchool,Topics,Year
Chronic Obstructive Pulm Disease- Self Management Activation Trial,"David B. Coultas, M.D.",University of Texas Health Science Center- Tyler,,B. Jackson,University of North Texas Health Science Center,School of Public Health,F. Su,University of North Texas Health Science Center,School of Public Health,"Health Communication, Health Disparities",2011
Creation of Local Website for Veteran Interactions,Irena Klaic,University of Texas at Austin,School of Information,Amy Dolejs,University of Texas at Austin,School of Information,Eric Liu,University of Texas at Austin,School of Information,"Health Communication, Digital health",2011
Design and Development of Patient Centered and Team-Based Safety Tool,"Michael Yuan, Ph.D.",Ringful Health,,"Ju Long, Ph.D.",Texas State University,Computer Information Systems,"Kathleen Stevens, Ed.D., R.N.",University of Texas at San Antonio,School of Nursing,"Patient Safety & Quality Care, Design, Health Communication",2011
Developing Effective Public Prevention Message-The Case of The H1N1 Flu,Linda L. Golden,University of Texas at Austin,,Danae Manika,University of Texas at Austin,,Patrick Brockett ,University of Texas at Austin,N/A,"Health Communication, Patient Safety & Quality Care",2011
"""Think the Sink"": Development of Campaign to Promote Hand Washing","Michael Mackert, Ph.D.",University of Texas at Austin,Communications;Stan Richard School of Advertising and Public Relations,"Ming-Ching Liang, M.A.",University of Texas at Austin,Stan Richard School of Advertising and Public Relations,"Sara Champlin, B.A.",University of Texas at Austin,Stan Richard School of Advertising and Public Relations,"Health Communication, Design",2011
Development of New Messaging Approach to Impact Health,"Neal M. Burns, Ph. D",University of Texas at Austin,Communications;Stan Richard School of Advertising and Public Relations,Jia Zheng,University of Texas at Austin,Communications;Stan Richard School of Advertising and Public Relations,,N/A,N/A,"Digital Health, Health Communication, Design",2011
Do Cardiologist Respond to Liability Risk and Fin Incentives when They Make Invasive Treatment Decisions,"Ronen Avraham, S.J.D.",University of Texas at Austin,School of Law,Max Schanzenbach,N/A,N/A,N/A,N/A,N/A,"Healthcare Law & Policy, Patient Safety & Quality Care",2011
Gaps and Opportunities for Maternal Health Care in Ped Settings,"Lorraine Walker, E.D.D.",University of Texas at Austin,School of Nursing,Diane Tyler,University of Texas at Austin,School of Nursing,N/A,N/A,N/A,"Health Disparities, Patient Safety & Quality Care",2011
Healthcare Pro Perspective on Personal Health Records and Data,Nicholas Huba,University of Texas at Austin,School of Information Science,"Yan Zhang, Ph.D.",University of Texas at Austin,School of Information Science,N/A,N/A,N/A,"Health Information Technology, Digital Health",2011
Healthcare Reforem in the Obama Administration,"Kristie Loescher, M.B.A., D.B.A.",University of Texas at Austin,McCombs School of Business-Management,,,N/A,N/A,N/A,N/A,"Healthcare Law & Policy, Patient Safety & Quality Care",2011
Impllcit Rationing of Nursing Time and Care,"Terry L. Jones, R.N., Ph.D..",University of Texas at Austin,School of Nursing,,N/A,N/A,N/A,N/A,N/A,Patient Safety & Quality Care,2011
Improving Communication Skills of Childrens with Autism Spectrum Disorders,Birgi Tamersoy,University of Texas at Austin,Cockrell School of Engineering-Electical & Computer Engineering,"Bretagne Abirached, M.A.",University of Texas at Austin,School of Information,"Yan Zhang, Ph.D.",University of Texas at Austin,School of Information Science,"Health Disparities, Biotechnology Innovation, Medical Technology Devices",2011
Improving Healthcare Systems Approach for Tobacco Cessation Referrals,"Shelley Karn, Ph.D.",University of Texas at Austin,College of Education-Kinesiology and Health Education,"Alex Loukas, Ph.D.",N/A,N/A,"Gail Sneden, M.A.",N/A,N/A,"Design, Health Information Technology",2011
Improving Healthcare Through Huddles,"Luci K.  Leykum, M.D., M.B.A.,M.Sc.",University of Texas Health Science Center- San Antonio; South Texas Veterans Health Care System,,"Michael Parchman, M.D., M.P.H.",University of Texas Health Science Center- San Antonio; South Texas Veterans Health Care System,,"Holly Lanham, Ph.D., M.B.A.",University of Texas Health Science Center- San Antonio; South Texas Veterans Health Care System,McCombs School of Business,"Process Improvement, Patient Safety & Quality Care",2011
Improving TX Med Disclosure and Consent Documentation: A Health Literacy and Health Communication Perspective,"Erin Donovan Kickens, Ph.D.",University of Texas at Austin,College of Communication-Communcation Studies,"Michael Mackert, Ph.D.",University of Texas at Austin,Communications;Stan Richard School of Advertising and Public Relations,"Trey D. Guinn, M.A.",University of Texas at Austin,Communications;Stan Richard School of Advertising and Public Relations,"Health Communication, Patient Safety & Quality Care",2011
Innovative Curriculum Development in Health Information Technology as a Foundation for Workforce Creation and Research,"Leanne H. Field, Ph.D.",University of Texas at Austin,College of Natural Sciences- Biological Sciences,"Diane M. Kneeland, Ph.D.",University of Texas at Austin,College of Natural Sciences- Biological Sciences,"Kimberly A. Smith, Ph.D.",University of Texas at Austin,College of Natural Sciences- Biological Sciences,"Health Information Technology,",2011
Nobel Lareate Discovery Patterns in Physiology and Medicine,"Glynn, Harmon, Ph, D.",University of Texas at Austin,School of Information,,N/A,N/A,N/A,N/A,N/A,"Design, Biotechnology Innovation",2011
Partnering with Industry to Create a Successful University-Based Training Program,"Leanne H. Field, Ph.D.",University of Texas at Austin,College of Natural Sciences- Biological Sciences,"Diane M. Kneeland, Ph.D.",University of Texas at Austin,College of Natural Sciences- Biological Sciences,Robert W. Ligon,N/A,N/A,Health Information Technology,2011
